id,SERP,URLs,URLs_cleaned
36,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=hp&ei=hhoMZ8bYOqeskdUPneuu4AE&iflsig=AL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c&ved=0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8&uact=5&oq=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&gs_lp=Egdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM&sclient=gws-wiz#,None,None
37,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&source=hp&ei=hhoMZ8bYOqeskdUPneuu4AE&iflsig=AL9hbdgAAAAAZwwolvYndT-_nTt8RdcjySpREnNJil0c&ved=0ahUKEwjGs5f-hoyJAxUnVqQEHZ21CxwQ4dUDCA8&uact=5&oq=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&gs_lp=Egdnd3Mtd2l6IjN2ZW50YSBkZSBwbGFudGFzIHZpdmVyb3MgZW4gbGEgQ29tdW5pZGFkIFZhbGVuY2lhbmFImBBQAFiYDnAAeACQAQCYAcEBoAHDBaoBAzAuNLgBA8gBAPgBAZgCAKACAJgDAJIHAKAH_SM&sclient=gws-wiz#,None,None
38,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAJGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYASABEgLLGfD_BwE&sig=AOD64_3ErVI3yktRaDsx3z_bMalHYhsshg&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ5bgDKAB6BAgDEAg&adurl=,None,None
39,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAJGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYASABEgLLGfD_BwE&sig=AOD64_3ErVI3yktRaDsx3z_bMalHYhsshg&ctype=5&q&nis=4&adurl,None,None
40,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAJGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYASABEgLLGfD_BwE&sig=AOD64_3ErVI3yktRaDsx3z_bMalHYhsshg&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQwg8oAXoECAMQCQ&adurl=,None,None
41,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAJGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYASABEgLLGfD_BwE&sig=AOD64_3ErVI3yktRaDsx3z_bMalHYhsshg&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQww8oAnoECAMQCg&adurl=,None,None
42,https://www.google.com/shopping,None,None
43,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAJGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYASABEgLLGfD_BwE&sig=AOD64_3ErVI3yktRaDsx3z_bMalHYhsshg&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ9aACKAB6BAgDEBA&adurl=,None,None
44,https://www.google.com/shopping,None,None
45,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAGGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAiABEgKR0PD_BwE&sig=AOD64_2AF840zkTjRa81XVxn6f6nG4K7XQ&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ5bgDKAB6BAgDEBg&adurl=,None,None
46,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAGGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAiABEgKR0PD_BwE&sig=AOD64_2AF840zkTjRa81XVxn6f6nG4K7XQ&ctype=5&q&nis=4&adurl,None,None
47,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAGGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAiABEgKR0PD_BwE&sig=AOD64_2AF840zkTjRa81XVxn6f6nG4K7XQ&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQwg8oAXoECAMQGQ&adurl=,None,None
48,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAGGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAiABEgKR0PD_BwE&sig=AOD64_2AF840zkTjRa81XVxn6f6nG4K7XQ&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQww8oAnoECAMQGg&adurl=,None,None
49,https://www.google.com/shopping,None,None
50,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAGGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAiABEgKR0PD_BwE&sig=AOD64_2AF840zkTjRa81XVxn6f6nG4K7XQ&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ9aACKAB6BAgDECA&adurl=,None,None
51,https://www.google.com/shopping,None,None
52,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAIGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAyABEgII0fD_BwE&sig=AOD64_0vJe4GSkto9yNC-uK1-QS-TC66tw&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ5bgDKAB6BAgDECc&adurl=,None,None
53,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAIGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAyABEgII0fD_BwE&sig=AOD64_0vJe4GSkto9yNC-uK1-QS-TC66tw&ctype=5&q&nis=4&adurl,None,None
54,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAIGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAyABEgII0fD_BwE&sig=AOD64_0vJe4GSkto9yNC-uK1-QS-TC66tw&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQwg8oAXoECAMQKA&adurl=,None,None
55,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAIGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAyABEgII0fD_BwE&sig=AOD64_0vJe4GSkto9yNC-uK1-QS-TC66tw&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQww8oAnoECAMQKQ&adurl=,None,None
56,https://www.google.com/shopping,None,None
57,https://www.google.com/aclk?sa=l&ai=DChcSEwjwo4CCh4yJAxUhl4MHHTInHwYYABAIGgJlZg&co=1&ase=2&gclid=EAIaIQobChMI8KOAgoeMiQMVIZeDBx0yJx8GEAQYAyABEgII0fD_BwE&sig=AOD64_0vJe4GSkto9yNC-uK1-QS-TC66tw&ctype=5&q=&nis=4&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ9aACKAB6BAgDEC8&adurl=,None,None
58,https://www.google.com/shopping,None,None
59,"https://www.google.com/maps/dir//Viveros+el+jardin,+Partida+de+Vilella,+46600+Alzira,+Valencia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xd61ba951e746063:0xa8fbe61bc7c86769?sa=X&ved=1t:57443&ictx=111",None,None
60,"https://www.google.com/maps/dir//Espacio+Verde,+CV-686,+km+1,+4,+46727+El+Real+de+Gandia,+Valencia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xd61e96f90aaf2e5:0xb877008f265dcf3e?sa=X&ved=1t:57443&ictx=111",None,None
61,"https://www.google.com/maps/dir//VIVEROS+BORR%C3%80S,+N-332+Km+250+al+final+del+camino+del+rafol,+46400,+Valencia/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xd61c83861f7f8ad:0xad96f7f03403e328?sa=X&ved=1t:57443&ictx=111",None,None
62,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&udm=1&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQjGp6BAgoEAE,None,None
63,https://www.google.com/search?q=venta+de+plantas+viveros+en+la+Comunidad+Valenciana&sca_esv=eab902f88a49963b&udm=11&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQhbILegQICBA_,None,None
64,https://www.google.com/search?sca_esv=eab902f88a49963b&q=venta+de+plantas+viveros+en+la+%22Comunidad%22+Valenciana&sa=X&ved=2ahUKEwiJvfqBh4yJAxUi0gIHHW02CEcQ5t4CegQIVBAB,None,None
